                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                 1.0207,                0.73089,                 1.1368,                0.87041,                0.84647,                0.87829,                 0.5366,                 1.3227,                0.78768,                 1.3391,               0.007459,               0.007459,               0.007459
                     79,                 1.0268,                0.71767,                 1.1348,                0.85655,                0.83288,                0.87986,                0.54938,                  1.266,                0.78195,                 1.2927,               0.007426,               0.007426,               0.007426
                     80,                 1.0131,                0.72018,                 1.1447,                0.85795,                0.84443,                0.88951,                0.53832,                 1.2832,                0.78407,                 1.3141,               0.007393,               0.007393,               0.007393
                     81,                 1.0046,                 0.7201,                 1.1315,                0.82836,                 0.8501,                0.88008,                0.54889,                 1.2658,                0.79228,                 1.2998,                0.00736,                0.00736,                0.00736
                     82,                 1.0155,                0.71264,                 1.1272,                0.85776,                0.81763,                0.87613,                0.54439,                 1.2828,                0.78813,                 1.3088,               0.007327,               0.007327,               0.007327
                     83,                 1.0109,                0.72564,                 1.1335,                0.83783,                0.80972,                0.86431,                0.54183,                 1.3044,                0.78648,                 1.3386,               0.007294,               0.007294,               0.007294
                     84,                 1.0148,                0.71138,                 1.1364,                0.86775,                0.82907,                0.88401,                0.55838,                 1.2623,                0.76914,                 1.2958,               0.007261,               0.007261,               0.007261
                     85,                 1.0068,                0.70974,                 1.1309,                0.84715,                0.84364,                0.86907,                0.53897,                 1.2801,                0.79021,                 1.3076,               0.007228,               0.007228,               0.007228
                     86,                 1.0051,                0.71186,                 1.1374,                0.85834,                0.85458,                0.88401,                 0.5382,                 1.3213,                0.78555,                 1.3407,               0.007195,               0.007195,               0.007195
                     87,                0.98958,                0.70625,                 1.1235,                0.86015,                0.84505,                0.88023,                0.54207,                 1.3128,                0.78206,                 1.3355,               0.007162,               0.007162,               0.007162
                     88,                0.99259,                0.70347,                 1.1254,                0.86284,                0.84052,                 0.8762,                0.54471,                 1.2875,                0.75742,                 1.3449,               0.007129,               0.007129,               0.007129
                     89,                0.98889,                0.69177,                 1.1174,                0.86446,                0.84906,                0.88568,                0.54976,                 1.2754,                0.75608,                 1.3214,               0.007096,               0.007096,               0.007096
                     90,                0.98212,                0.68878,                 1.1154,                0.86906,                0.84322,                0.89161,                0.56072,                  1.293,                0.75924,                 1.3246,               0.007063,               0.007063,               0.007063
                     91,                0.97525,                0.68756,                 1.1106,                0.85434,                0.83871,                0.87732,                0.54155,                 1.2968,                0.75662,                 1.3349,                0.00703,                0.00703,                0.00703
                     92,                0.99114,                0.69362,                 1.1195,                0.84419,                0.85527,                0.88129,                0.55301,                 1.3195,                0.74216,                 1.3647,               0.006997,               0.006997,               0.006997
                     93,                0.97585,                0.68829,                 1.1095,                0.84334,                0.83625,                0.87856,                0.54289,                 1.3436,                0.75632,                 1.3658,               0.006964,               0.006964,               0.006964
                     94,                0.98109,                0.69516,                 1.1131,                0.85809,                0.84044,                0.88043,                0.54459,                 1.3295,                0.75032,                 1.3525,               0.006931,               0.006931,               0.006931
                     95,                0.97831,                0.68661,                 1.1105,                0.84194,                0.84095,                0.87624,                0.54371,                 1.2835,                0.75715,                 1.3163,               0.006898,               0.006898,               0.006898
                     96,                 0.9752,                0.69246,                 1.1125,                0.87195,                0.82543,                0.88411,                0.54926,                 1.3109,                0.76883,                 1.3531,               0.006865,               0.006865,               0.006865
                     97,                0.96636,                0.69335,                 1.1209,                0.84553,                0.84328,                0.87625,                0.54587,                 1.2971,                0.78149,                 1.3145,               0.006832,               0.006832,               0.006832
                     98,                0.96657,                0.68013,                 1.1078,                0.84739,                0.85367,                0.87699,                0.54115,                 1.3018,                 0.7654,                 1.3387,               0.006799,               0.006799,               0.006799
                     99,                0.96214,                0.66819,                 1.1077,                0.83742,                0.83018,                0.87547,                0.54135,                 1.3097,                0.76568,                 1.3541,               0.006766,               0.006766,               0.006766
                    100,                0.95908,                0.66683,                 1.1012,                0.84828,                0.84565,                0.87918,                0.54478,                 1.3025,                0.78806,                 1.3435,               0.006733,               0.006733,               0.006733
                    101,                0.94344,                0.65751,                 1.0965,                0.86332,                0.85239,                0.89017,                0.54015,                 1.2821,                0.75417,                 1.3355,                 0.0067,                 0.0067,                 0.0067
                    102,                0.95295,                0.66365,                 1.1015,                0.86565,                0.85235,                0.88788,                0.54417,                 1.2859,                 0.7403,                 1.3342,               0.006667,               0.006667,               0.006667
                    103,                0.96257,                0.68107,                 1.1092,                0.86966,                0.83904,                0.89012,                0.55077,                 1.2867,                0.75399,                 1.3295,               0.006634,               0.006634,               0.006634
                    104,                0.95068,                 0.6718,                 1.1059,                0.87224,                0.84274,                0.89589,                0.54983,                 1.3024,                0.75684,                 1.3338,               0.006601,               0.006601,               0.006601
                    105,                 0.9511,                 0.6706,                 1.0922,                0.84591,                0.83929,                0.87884,                0.54246,                 1.2938,                0.74635,                  1.341,               0.006568,               0.006568,               0.006568
                    106,                0.94871,                0.64662,                 1.0966,                0.85585,                0.83563,                0.88108,                0.54706,                 1.2955,                0.74383,                 1.3419,               0.006535,               0.006535,               0.006535
                    107,                0.94518,                0.65561,                 1.0915,                0.85936,                0.85956,                0.87843,                0.52873,                 1.3444,                0.76219,                 1.3948,               0.006502,               0.006502,               0.006502
                    108,                0.93608,                  0.654,                 1.0861,                0.84986,                0.84657,                0.87792,                0.53862,                 1.3176,                0.77856,                 1.3512,               0.006469,               0.006469,               0.006469
                    109,                0.94206,                0.65761,                 1.0962,                0.85169,                0.84897,                0.87926,                0.53013,                 1.3162,                0.78123,                  1.357,               0.006436,               0.006436,               0.006436
                    110,                0.93481,                0.64833,                 1.0915,                0.84844,                0.85491,                0.87635,                0.53711,                 1.3273,                0.77681,                  1.366,               0.006403,               0.006403,               0.006403
                    111,                0.93922,                0.63847,                 1.0992,                 0.8479,                0.86938,                0.88892,                0.54311,                 1.3436,                0.76429,                 1.3856,                0.00637,                0.00637,                0.00637
                    112,                0.94077,                0.64916,                 1.0921,                0.85388,                0.83984,                0.87709,                0.53929,                 1.3078,                0.74156,                 1.3715,               0.006337,               0.006337,               0.006337
                    113,                0.94144,                0.64287,                 1.0909,                0.86893,                0.84503,                0.88406,                0.54152,                 1.3237,                0.74446,                 1.3739,               0.006304,               0.006304,               0.006304
                    114,                0.93464,                0.65468,                 1.0886,                0.87027,                0.86608,                0.89841,                0.55741,                 1.3268,                0.71758,                 1.3855,               0.006271,               0.006271,               0.006271
                    115,                 0.9314,                0.64069,                  1.088,                0.85177,                0.86489,                0.89456,                0.55043,                 1.3215,                0.74232,                  1.376,               0.006238,               0.006238,               0.006238
                    116,                0.93939,                0.63877,                 1.0862,                0.85418,                0.86274,                0.88723,                0.54182,                 1.3186,                0.74329,                 1.3724,               0.006205,               0.006205,               0.006205
                    117,                0.92501,                0.63989,                 1.0911,                0.85725,                0.84758,                0.87943,                0.54101,                 1.3134,                0.76055,                 1.3685,               0.006172,               0.006172,               0.006172
                    118,                0.91341,                0.62759,                  1.076,                 0.8548,                0.82616,                0.87752,                0.54356,                   1.31,                0.74973,                 1.3644,               0.006139,               0.006139,               0.006139
                    119,                0.92946,                0.62674,                 1.0867,                0.86359,                0.84785,                 0.8843,                0.54192,                 1.3361,                0.73835,                  1.388,               0.006106,               0.006106,               0.006106
                    120,                0.92648,                  0.667,                 1.0849,                0.86293,                0.84784,                0.88755,                 0.5531,                 1.3048,                0.71775,                 1.3717,               0.006073,               0.006073,               0.006073
